cleaned_tweet,class
blackmantide whalelookyhere howdydowdy queer gaywad,0
cb_baby white_thunduh alsarabsss hes beaner smh tell hes mexican,0
devilgrimz vigxrarts youre fucking gay blacklisted hoe holding tehgodclan anyway httptcoxuccwoetmn,0
markroundtreejr lmfaoooo hate black people httpstcornvdnlcdr theres black people niggers,0
nochillpaz least im nigger httptcorgjacfoit lmfao,0
notoriousbm _whiteponyjr_ ariza snake coward least isnt cripple like hero roach lmaoo,0
rtnba drakes new shoes released nikejordan yes theres glitter shoes httptcoqctplxhexm dudes fag,0
theomaxximus gerryshalloweenparty httptcoycrsrnjhc halloween yesterday stupid nigger,0
ashlingwilde itsnotadam bored supposed cute faggot sometimes,0
bigbootybishopp white_thunduh lassen cc coach wants feel youll get nig doubt,0
jayswaggkillah jackies retard blondeproblems least make grilled cheese,0
jgabsss stacey dash httptcopdlgrjol baddest bitch evaaaa,0
dont worry nigga see worry nigga dont see dats da nigga fuckin yo bitch,0
hey go look video man found kidnapped girls ohiowhat nigger shitmybosssays,0
lets kill cracker babies wtf hear wow,0
grandma used call porch monkey time come think refer broken bottle nigger knife,0
nah nomeek_justmilz yo thought photoshopped face faggot smmfhi hate yall httptcoefkqqt,0
people time aryan race stand say mongerls turn world ghetto slum,0
sour apple bitter bitches im fuckin wit em,0
hate niggers hate faggots hate spicskkk rally,0
queer hut like butt,0
fuck callin jiggaboo nigga,0
people think gay marriage okay beyond sorry dont want future son seeing fags walking street holding hands,0
aint gunna shit spear chucker,0
ol trout mouth ass bitch deeeeaaaadd,0
ayo even kill handicapped crippled bitcheslook scalp real close youll see triple sixes,0
fuck pussy ass hater go suck dick die quick someone youtube comments think wed good friends,0
way fuck bitch name lord mr race,0
poor whitey httptcoukkeyznz,0
azmonsoon lot rain bad wasnt enough wash away teabagger racist white trash state tcot teaparty azflooding,0
california full white trash,0
california full white trash moved oklahoma,0
dtla trash noneuropeans allowed live,0
dutch farmers white trash,0
dutch people live outside newyorkcity white trash,0
iowa full white trash,0
jesuschrist straightgt thats faggots killed period sonofgodgt,0
minnesota full white trash,0
reasonswecantbetogether u talkin nig smashed da homies,0
rebelscience using actual woman genetic engineering lab natural clones something faggot rome,0
slightlyadjusted rt capotoheaven alls niggers wanna fuck tweet drink pineapple soda day,0
somethingigetalot asian black hawaiian gay retarded drunk,0
southcarolina full white trash,0
thingsiwillteachmychild play deez niggas n bitches dat snakes,0
trayvonmartin referred zimmerman creepy ass cracker racist thug,0
tweetlikepontiacholmes pontiac sprinkler nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga,0
vinitahegwood get job naacp ag hear like diversity tolerance long aint cracker tcot,0
virginia full white trash,0
westvirginia full white trash,0
faggots merely scientific indicator something wronggt celebrate unique indiviuals cancergt,0
firefighter job white trash,0
milesthompson goauche wetback ca httptcogzebqlpg,0
bossmobbe racist month fuck u honkey,0
rt theonlyreed lmfao rt tone watching porn amp beating amp yo homie text u amp show name banner youre faggot,0
fucc nicca yu pose pullin,0
said rt boythats_aryah tl gotta chill pretty face challenge foolishness yall hoes agg,0
rt kwagiheath st charlotte goon niccas gon fkkk around burn bank america stadium,0
rt kinghov recruited buku fags herea warehouse place,0
lbum de fotos gaywrites making project queer students harvard highlights httptcoxzqxmaqtf,0
alexadelsanter awkward u fag corleyhuff vitchhhh httptcohudohayqe wonder whos awesome tank,0
bixxhmakemerich u ask every bitch gayor bi,0
crowdifornia agree httptcodiznkymn fuck yes send illegal wetbacks home,0
dickfurari hell ya make malt liquor ads like httptcohjgortnf dis heaven fo colored man,0
freddiegibbs tea bag bitch pahahaha,0
funnypicsdepot fucking white people httptcouyjgzuxcc bitch wut,0
glitteredinpink west like needs hoe im breaking suck dick,0
milf_chronicles dudes shaving without athletic purpose gay af youre retarded,0
maxwell_larsen live gay cant afraid two black dicks butt fucking queer,0
mikeypdacav love song john doe dope mirandawigley edenbaby faggots,0
moffettmm got done last final im walkin around campus like place queer,0
my_fish_died dammn weed potheads annoying af twitter weed pot thing faggot,0
nihao_rocky rt drtruth yall hype bread loaf chick im chill dyke rapper,0
niggaimtatted cowboys win games regular season get playoffs trash af lol hating ass nigga,0
nochillpaz white kids favorite activities calling people niggers xbox fucking pet shooting school,0
simplyhype kobebryant shut fuck fucking trash nigga work another ring httptcorlenkree,0
tp_three westsideflee kekepalmer damn got wifey fall back nigga dont share hoes,0
_bitchbuh shoot nigga shorty bitch,0
_honeysays phone charging backwards retarded,0
alicia_ aint special niglet rt vicefly im chilling wit greg ppl walk ask take picshatin,0
boojieque rt webbmadethis lemme find niggaz letting bitches shit yo faces niggas weirdos,0
dnumberbefore vicefly dnumberbefore u regular nig u played b lol ima b ig famousthese days counts somethin,0
iamkrause need thank killing niggers reward dis pal graduation,0
kaylendenise_ hate bitch amp fact oomf likes retweeettt x,0
kitty_hello im_yung_jay bitch ass nigga fuck lt hoes aint got manners realtalk,0
medaoriginbitch one friend greet insult morbidmermaid evanbecker niggers,0
rocafella waymoflydenu fleek yo vocabulary faggot,0
spannerhead vertrellcarter faggot respect,0
thejanicexxx u unfollowed cant dm u ill say youre rude cunt lmao dm,0
ttevy_ want affection also want left alone see issue herefag,0
waymoflydenu yall think ok faggots want us cool,0
